param,term,coefficient,transform
A,(intercept),-73.6773170427707,"logit(A)"
A,1,-1.35154619280877e-16,"logit(A)"
A,x1^0 x2^0 x3^0 x4^1,-2.70340897220737,"logit(A)"
A,x1^0 x2^0 x3^1 x4^0,17.2465350911631,"logit(A)"
A,x1^0 x2^1 x3^0 x4^0,-12.8558306899619,"logit(A)"
A,x1^1 x2^0 x3^0 x4^0,-16.7821151509963,"logit(A)"
A,x1^0 x2^0 x3^0 x4^2,-0.312739386867918,"logit(A)"
A,x1^0 x2^0 x3^1 x4^1,5.57289558804208,"logit(A)"
A,x1^0 x2^0 x3^2 x4^0,-21.7456251523435,"logit(A)"
A,x1^0 x2^1 x3^0 x4^1,1.20179773350472,"logit(A)"
A,x1^0 x2^1 x3^1 x4^0,-6.02087059876765,"logit(A)"
A,x1^0 x2^2 x3^0 x4^0,6.92511577029033,"logit(A)"
A,x1^1 x2^0 x3^0 x4^1,0.265940978636487,"logit(A)"
A,x1^1 x2^0 x3^1 x4^0,-1.64567536383827,"logit(A)"
A,x1^1 x2^1 x3^0 x4^0,-9.34593532900093,"logit(A)"
A,x1^2 x2^0 x3^0 x4^0,4.86754123650767,"logit(A)"
A,x1^0 x2^0 x3^0 x4^3,-0.0130875708738853,"logit(A)"
A,x1^0 x2^0 x3^1 x4^2,0.765042884599603,"logit(A)"
A,x1^0 x2^0 x3^2 x4^1,-4.25390006820464,"logit(A)"
A,x1^0 x2^0 x3^3 x4^0,14.2630158333181,"logit(A)"
A,x1^0 x2^1 x3^0 x4^2,0.0316737568730494,"logit(A)"
A,x1^0 x2^1 x3^1 x4^1,-1.30228300024031,"logit(A)"
A,x1^0 x2^1 x3^2 x4^0,6.61994474502057,"logit(A)"
A,x1^0 x2^2 x3^0 x4^1,-0.58604112642657,"logit(A)"
A,x1^0 x2^2 x3^1 x4^0,1.37468639954676,"logit(A)"
A,x1^0 x2^3 x3^0 x4^0,-3.18372223110562,"logit(A)"
A,x1^1 x2^0 x3^0 x4^2,0.25131914008271,"logit(A)"
A,x1^1 x2^0 x3^1 x4^1,-1.44759734176372,"logit(A)"
A,x1^1 x2^0 x3^2 x4^0,-0.881068160931118,"logit(A)"
A,x1^1 x2^1 x3^0 x4^1,-0.0388527170818507,"logit(A)"
A,x1^1 x2^1 x3^1 x4^0,1.04288258634634,"logit(A)"
A,x1^1 x2^2 x3^0 x4^0,1.91742796220672,"logit(A)"
A,x1^2 x2^0 x3^0 x4^1,0.0623354807555305,"logit(A)"
A,x1^2 x2^0 x3^1 x4^0,-0.722130441136346,"logit(A)"
A,x1^2 x2^1 x3^0 x4^0,2.55632571993661,"logit(A)"
A,x1^3 x2^0 x3^0 x4^0,-1.44855741863242,"logit(A)"
A,x1^0 x2^0 x3^0 x4^4,0.0934262398879332,"logit(A)"
A,x1^0 x2^0 x3^1 x4^3,0.172514852362745,"logit(A)"
A,x1^0 x2^0 x3^2 x4^2,-4.30709411671674,"logit(A)"
A,x1^0 x2^0 x3^3 x4^1,-13.4258034304639,"logit(A)"
A,x1^0 x2^0 x3^4 x4^0,85.6241868436694,"logit(A)"
A,x1^0 x2^1 x3^0 x4^3,0.053453792345644,"logit(A)"
A,x1^0 x2^1 x3^1 x4^2,-0.3513175491207,"logit(A)"
A,x1^0 x2^1 x3^2 x4^1,-2.22983715885196,"logit(A)"
A,x1^0 x2^1 x3^3 x4^0,1.47583610993764,"logit(A)"
A,x1^0 x2^2 x3^0 x4^2,0.0381197058519404,"logit(A)"
A,x1^0 x2^2 x3^1 x4^1,0.222432181937289,"logit(A)"
A,x1^0 x2^2 x3^2 x4^0,-0.96819320134838,"logit(A)"
A,x1^0 x2^3 x3^0 x4^1,0.301639491810587,"logit(A)"
A,x1^0 x2^3 x3^1 x4^0,0.150578187448301,"logit(A)"
A,x1^0 x2^4 x3^0 x4^0,1.41438049070905,"logit(A)"
A,x1^1 x2^0 x3^0 x4^3,-0.0454268969247672,"logit(A)"
A,x1^1 x2^0 x3^1 x4^2,-0.558504780954187,"logit(A)"
A,x1^1 x2^0 x3^2 x4^1,2.33065784508872,"logit(A)"
A,x1^1 x2^0 x3^3 x4^0,15.5762979123364,"logit(A)"
A,x1^1 x2^1 x3^0 x4^2,-0.0881659908428024,"logit(A)"
A,x1^1 x2^1 x3^1 x4^1,0.11128631702094,"logit(A)"
A,x1^1 x2^1 x3^2 x4^0,0.345921260685631,"logit(A)"
A,x1^1 x2^2 x3^0 x4^1,0.00265472430736302,"logit(A)"
A,x1^1 x2^2 x3^1 x4^0,-0.406555179634579,"logit(A)"
A,x1^1 x2^3 x3^0 x4^0,-0.285622046988307,"logit(A)"
A,x1^2 x2^0 x3^0 x4^2,-0.120035516514443,"logit(A)"
A,x1^2 x2^0 x3^1 x4^1,0.405286765723222,"logit(A)"
A,x1^2 x2^0 x3^2 x4^0,2.67428632705722,"logit(A)"
A,x1^2 x2^1 x3^0 x4^1,-0.0748363306999509,"logit(A)"
A,x1^2 x2^1 x3^1 x4^0,-0.0134554015754667,"logit(A)"
A,x1^2 x2^2 x3^0 x4^0,-1.14699065149908,"logit(A)"
A,x1^3 x2^0 x3^0 x4^1,-0.0540626189243676,"logit(A)"
A,x1^3 x2^0 x3^1 x4^0,0.618282392706168,"logit(A)"
A,x1^3 x2^1 x3^0 x4^0,-0.497485595218847,"logit(A)"
A,x1^4 x2^0 x3^0 x4^0,0.433850164706049,"logit(A)"
K,(intercept),0.0486566783078327,"logit(K)"
K,1,6.01295102110276e-18,"logit(K)"
K,x1^0 x2^0 x3^0 x4^1,0.314627639377541,"logit(K)"
K,x1^0 x2^0 x3^1 x4^0,-0.342539119731456,"logit(K)"
K,x1^0 x2^1 x3^0 x4^0,-0.205105551962017,"logit(K)"
K,x1^1 x2^0 x3^0 x4^0,-0.458682690096497,"logit(K)"
K,x1^0 x2^0 x3^0 x4^2,-0.0249577693421878,"logit(K)"
K,x1^0 x2^0 x3^1 x4^1,-0.37673458865661,"logit(K)"
K,x1^0 x2^0 x3^2 x4^0,0.518061443076184,"logit(K)"
K,x1^0 x2^1 x3^0 x4^1,-0.0724318399857568,"logit(K)"
K,x1^0 x2^1 x3^1 x4^0,0.0319584214604262,"logit(K)"
K,x1^0 x2^2 x3^0 x4^0,0.0608470845874359,"logit(K)"
K,x1^1 x2^0 x3^0 x4^1,-0.0773823186137599,"logit(K)"
K,x1^1 x2^0 x3^1 x4^0,0.107834643304908,"logit(K)"
K,x1^1 x2^1 x3^0 x4^0,-0.0945090520345887,"logit(K)"
K,x1^2 x2^0 x3^0 x4^0,0.112848281389175,"logit(K)"
K,x1^0 x2^0 x3^0 x4^3,0.00101112204256018,"logit(K)"
K,x1^0 x2^0 x3^1 x4^2,0.0131897533556927,"logit(K)"
K,x1^0 x2^0 x3^2 x4^1,0.389805548771273,"logit(K)"
K,x1^0 x2^0 x3^3 x4^0,-0.930536598564761,"logit(K)"
K,x1^0 x2^1 x3^0 x4^2,-0.00107810845116963,"logit(K)"
K,x1^0 x2^1 x3^1 x4^1,0.0449501538666758,"logit(K)"
K,x1^0 x2^1 x3^2 x4^0,0.0529515419368033,"logit(K)"
K,x1^0 x2^2 x3^0 x4^1,0.00361055168173297,"logit(K)"
K,x1^0 x2^2 x3^1 x4^0,0.0307834084110602,"logit(K)"
K,x1^0 x2^3 x3^0 x4^0,-0.0223470932266851,"logit(K)"
K,x1^1 x2^0 x3^0 x4^2,0.0046811792105326,"logit(K)"
K,x1^1 x2^0 x3^1 x4^1,0.0722539282682167,"logit(K)"
K,x1^1 x2^0 x3^2 x4^0,-0.174553660859297,"logit(K)"
K,x1^1 x2^1 x3^0 x4^1,0.0155256015637182,"logit(K)"
K,x1^1 x2^1 x3^1 x4^0,-0.000242075102679531,"logit(K)"
K,x1^1 x2^2 x3^0 x4^0,0.0322386971390748,"logit(K)"
K,x1^2 x2^0 x3^0 x4^1,0.0177042086812469,"logit(K)"
K,x1^2 x2^0 x3^1 x4^0,-0.0367995868142278,"logit(K)"
K,x1^2 x2^1 x3^0 x4^0,0.0224487647268634,"logit(K)"
K,x1^3 x2^0 x3^0 x4^0,-0.0314947975093072,"logit(K)"
K,x1^0 x2^0 x3^0 x4^4,0.000247639170027624,"logit(K)"
K,x1^0 x2^0 x3^1 x4^3,0.0114739832124212,"logit(K)"
K,x1^0 x2^0 x3^2 x4^2,0.068839710279715,"logit(K)"
K,x1^0 x2^0 x3^3 x4^1,-0.68877019933243,"logit(K)"
K,x1^0 x2^0 x3^4 x4^0,1.58820038116035,"logit(K)"
K,x1^0 x2^1 x3^0 x4^3,0.00236413515940471,"logit(K)"
K,x1^0 x2^1 x3^1 x4^2,0.0317362125402674,"logit(K)"
K,x1^0 x2^1 x3^2 x4^1,0.0135027370174062,"logit(K)"
K,x1^0 x2^1 x3^3 x4^0,-0.411129286957906,"logit(K)"
K,x1^0 x2^2 x3^0 x4^2,0.00558426338108713,"logit(K)"
K,x1^0 x2^2 x3^1 x4^1,0.0319595818624956,"logit(K)"
K,x1^0 x2^2 x3^2 x4^0,-0.133568140232096,"logit(K)"
K,x1^0 x2^3 x3^0 x4^1,0.0098677368746889,"logit(K)"
K,x1^0 x2^3 x3^1 x4^0,-0.0293546172665606,"logit(K)"
K,x1^0 x2^4 x3^0 x4^0,0.00881898221203853,"logit(K)"
K,x1^1 x2^0 x3^0 x4^3,0.00030157039915125,"logit(K)"
K,x1^1 x2^0 x3^1 x4^2,0.00712167990500926,"logit(K)"
K,x1^1 x2^0 x3^2 x4^1,-0.0290525020119016,"logit(K)"
K,x1^1 x2^0 x3^3 x4^0,0.373844997095915,"logit(K)"
K,x1^1 x2^1 x3^0 x4^2,0.00142941200518129,"logit(K)"
K,x1^1 x2^1 x3^1 x4^1,0.0018061853052049,"logit(K)"
K,x1^1 x2^1 x3^2 x4^0,-0.022402928405008,"logit(K)"
K,x1^1 x2^2 x3^0 x4^1,0.00106262140964233,"logit(K)"
K,x1^1 x2^2 x3^1 x4^0,-0.0180595840365337,"logit(K)"
K,x1^1 x2^3 x3^0 x4^0,-0.00952904690769528,"logit(K)"
K,x1^2 x2^0 x3^0 x4^2,-0.000523097643524168,"logit(K)"
