param,term,coefficient,transform
A,(intercept),35.7651541674148,"logit(A)"
A,1,1.34648874464869e-15,"logit(A)"
A,x1^0 x2^0 x3^0 x4^1,-0.377851166835164,"logit(A)"
A,x1^0 x2^0 x3^1 x4^0,-14.3230483882526,"logit(A)"
A,x1^0 x2^1 x3^0 x4^0,12.7469392392831,"logit(A)"
A,x1^1 x2^0 x3^0 x4^0,-1.80596918950544,"logit(A)"
A,x1^0 x2^0 x3^0 x4^2,-0.189880664074454,"logit(A)"
A,x1^0 x2^0 x3^1 x4^1,1.46676136331623,"logit(A)"
A,x1^0 x2^0 x3^2 x4^0,6.98750979520439,"logit(A)"
A,x1^0 x2^1 x3^0 x4^1,-0.508686704804118,"logit(A)"
A,x1^0 x2^1 x3^1 x4^0,4.41755336544746,"logit(A)"
A,x1^0 x2^2 x3^0 x4^0,-2.55529685510088,"logit(A)"
A,x1^1 x2^0 x3^0 x4^1,0.791622633205804,"logit(A)"
A,x1^1 x2^0 x3^1 x4^0,0.480335017884831,"logit(A)"
A,x1^1 x2^1 x3^0 x4^0,3.28911167052253,"logit(A)"
A,x1^2 x2^0 x3^0 x4^0,-2.15600014103234,"logit(A)"
A,x1^0 x2^0 x3^0 x4^3,0.011429320521036,"logit(A)"
A,x1^0 x2^0 x3^1 x4^2,0.208816093034917,"logit(A)"
A,x1^0 x2^0 x3^2 x4^1,-1.85793287819557,"logit(A)"
A,x1^0 x2^0 x3^3 x4^0,-1.75565604561435,"logit(A)"
A,x1^0 x2^1 x3^0 x4^2,0.0567892572867521,"logit(A)"
A,x1^0 x2^1 x3^1 x4^1,0.0288888054197573,"logit(A)"
A,x1^0 x2^1 x3^2 x4^0,-2.46717531575276,"logit(A)"
A,x1^0 x2^2 x3^0 x4^1,0.366719319017341,"logit(A)"
A,x1^0 x2^2 x3^1 x4^0,-1.10926752147046,"logit(A)"
A,x1^0 x2^3 x3^0 x4^0,0.681981393133491,"logit(A)"
A,x1^1 x2^0 x3^0 x4^2,0.0473604680789676,"logit(A)"
A,x1^1 x2^0 x3^1 x4^1,-0.750595310731955,"logit(A)"
A,x1^1 x2^0 x3^2 x4^0,3.95691905648953,"logit(A)"
