param,term,coefficient,transform
A,(intercept),0.373636451906869,"logit(A)"
A,1,3.81502884583295e-17,"logit(A)"
A,x1^0 x2^0 x3^0 x4^1,0.21316262859277,"logit(A)"
A,x1^0 x2^0 x3^1 x4^0,0.0115218799336918,"logit(A)"
A,x1^0 x2^1 x3^0 x4^0,-0.349496237004474,"logit(A)"
A,x1^1 x2^0 x3^0 x4^0,0.0687218335002903,"logit(A)"
A,x1^0 x2^0 x3^0 x4^2,-0.0119215126408458,"logit(A)"
A,x1^0 x2^0 x3^1 x4^1,0.00355854730106171,"logit(A)"
A,x1^0 x2^0 x3^2 x4^0,-0.00619087313142084,"logit(A)"
A,x1^0 x2^1 x3^0 x4^1,0.0776512577375669,"logit(A)"
A,x1^0 x2^1 x3^1 x4^0,-0.0176267832833137,"logit(A)"
A,x1^0 x2^2 x3^0 x4^0,0.0685928525055556,"logit(A)"
A,x1^1 x2^0 x3^0 x4^1,-0.129728253885357,"logit(A)"
A,x1^1 x2^0 x3^1 x4^0,0.00193174574226614,"logit(A)"
A,x1^1 x2^1 x3^0 x4^0,-0.0573956326649979,"logit(A)"
A,x1^2 x2^0 x3^0 x4^0,0.0221288844640232,"logit(A)"
A,x1^0 x2^0 x3^0 x4^3,-0.0104690122834215,"logit(A)"
A,x1^0 x2^0 x3^1 x4^2,0.0572321317830173,"logit(A)"
A,x1^0 x2^0 x3^2 x4^1,0.299099702283276,"logit(A)"
A,x1^0 x2^0 x3^3 x4^0,-0.18667280905895,"logit(A)"
A,x1^0 x2^1 x3^0 x4^2,-0.0631106929090487,"logit(A)"
A,x1^0 x2^1 x3^1 x4^1,-0.215515651374313,"logit(A)"
A,x1^0 x2^1 x3^2 x4^0,0.070843610368171,"logit(A)"
A,x1^0 x2^2 x3^0 x4^1,-0.0944301080441552,"logit(A)"
A,x1^0 x2^2 x3^1 x4^0,0.0139277428166118,"logit(A)"
A,x1^0 x2^3 x3^0 x4^0,-0.0179294969399731,"logit(A)"
A,x1^1 x2^0 x3^0 x4^2,0.0109592031064479,"logit(A)"
A,x1^1 x2^0 x3^1 x4^1,0.0804417079445674,"logit(A)"
A,x1^1 x2^0 x3^2 x4^0,-0.0608825067420751,"logit(A)"
