param,term,coefficient,transform
A,(intercept),-362.243857813711,"logit(A)"
A,1,1.57254694692173e-16,"logit(A)"
A,x1^0 x2^0 x3^0 x4^1,0.401726914544625,"logit(A)"
A,x1^0 x2^0 x3^1 x4^0,-224.226624570211,"logit(A)"
A,x1^0 x2^1 x3^0 x4^0,-84.1861601490804,"logit(A)"
A,x1^1 x2^0 x3^0 x4^0,-24.3738915786178,"logit(A)"
A,x1^0 x2^0 x3^0 x4^2,-0.0705200401456943,"logit(A)"
A,x1^0 x2^0 x3^1 x4^1,-0.995150479309428,"logit(A)"
A,x1^0 x2^0 x3^2 x4^0,384.153355817809,"logit(A)"
A,x1^0 x2^1 x3^0 x4^1,-0.0180260178363115,"logit(A)"
A,x1^0 x2^1 x3^1 x4^0,63.4883972554816,"logit(A)"
A,x1^0 x2^2 x3^0 x4^0,6.08830035758613,"logit(A)"
A,x1^1 x2^0 x3^0 x4^1,-0.129819699044051,"logit(A)"
A,x1^1 x2^0 x3^1 x4^0,24.7437436464351,"logit(A)"
A,x1^1 x2^1 x3^0 x4^0,14.9417685576475,"logit(A)"
A,x1^2 x2^0 x3^0 x4^0,1.98237292135337,"logit(A)"
A,x1^0 x2^0 x3^0 x4^3,0.452476812230059,"logit(A)"
A,x1^0 x2^0 x3^1 x4^2,0.127948657000171,"logit(A)"
A,x1^0 x2^0 x3^2 x4^1,0.243044866698633,"logit(A)"
A,x1^0 x2^0 x3^3 x4^0,-634.306798949844,"logit(A)"
A,x1^0 x2^1 x3^0 x4^2,-0.10551698371324,"logit(A)"
A,x1^0 x2^1 x3^1 x4^1,-0.210691179350062,"logit(A)"
A,x1^0 x2^1 x3^2 x4^0,-76.6590372768543,"logit(A)"
A,x1^0 x2^2 x3^0 x4^1,-0.059571450822103,"logit(A)"
A,x1^0 x2^2 x3^1 x4^0,-11.0771742723697,"logit(A)"
A,x1^0 x2^3 x3^0 x4^0,1.76035225406532,"logit(A)"
A,x1^1 x2^0 x3^0 x4^2,0.00830775789969838,"logit(A)"
A,x1^1 x2^0 x3^1 x4^1,0.34697192869846,"logit(A)"
A,x1^1 x2^0 x3^2 x4^0,-8.07574927129519,"logit(A)"
A,x1^1 x2^1 x3^0 x4^1,0.00902562084660932,"logit(A)"
A,x1^1 x2^1 x3^1 x4^0,-0.35589368626896,"logit(A)"
A,x1^1 x2^2 x3^0 x4^0,-0.514300161668624,"logit(A)"
A,x1^2 x2^0 x3^0 x4^1,0.0417835349245484,"logit(A)"
A,x1^2 x2^0 x3^1 x4^0,5.57668623960076,"logit(A)"
A,x1^2 x2^1 x3^0 x4^0,-1.45563116093784,"logit(A)"
A,x1^3 x2^0 x3^0 x4^0,-0.0551162900796884,"logit(A)"
A,x1^0 x2^0 x3^0 x4^4,1.08581409831902,"logit(A)"
A,x1^0 x2^0 x3^1 x4^3,-1.9615477109637,"logit(A)"
A,x1^0 x2^0 x3^2 x4^2,-0.41764723582301,"logit(A)"
A,x1^0 x2^0 x3^3 x4^1,20.4666462816696,"logit(A)"
A,x1^0 x2^0 x3^4 x4^0,-258.551382471037,"logit(A)"
A,x1^0 x2^1 x3^0 x4^3,-0.0856554959550427,"logit(A)"
A,x1^0 x2^1 x3^1 x4^2,0.504108248659223,"logit(A)"
A,x1^0 x2^1 x3^2 x4^1,2.40964331121562,"logit(A)"
A,x1^0 x2^1 x3^3 x4^0,-37.2534113705459,"logit(A)"
A,x1^0 x2^2 x3^0 x4^2,0.10453260788448,"logit(A)"
A,x1^0 x2^2 x3^1 x4^1,0.368127657303789,"logit(A)"
A,x1^0 x2^2 x3^2 x4^0,-8.01628757551466,"logit(A)"
A,x1^0 x2^3 x3^0 x4^1,0.0549076346412769,"logit(A)"
A,x1^0 x2^3 x3^1 x4^0,-2.7680757539742,"logit(A)"
A,x1^0 x2^4 x3^0 x4^0,-1.71864990215246,"logit(A)"
A,x1^1 x2^0 x3^0 x4^3,-0.117193734184942,"logit(A)"
A,x1^1 x2^0 x3^1 x4^2,0.024212686676216,"logit(A)"
A,x1^1 x2^0 x3^2 x4^1,-0.325955858072025,"logit(A)"
A,x1^1 x2^0 x3^3 x4^0,-169.30299563133,"logit(A)"
A,x1^1 x2^1 x3^0 x4^2,0.0376107156679045,"logit(A)"
A,x1^1 x2^1 x3^1 x4^1,0.0438736881568212,"logit(A)"
A,x1^1 x2^1 x3^2 x4^0,-24.0571512092203,"logit(A)"
A,x1^1 x2^2 x3^0 x4^1,0.016481902498026,"logit(A)"
A,x1^1 x2^2 x3^1 x4^0,-4.77169769765632,"logit(A)"
A,x1^1 x2^3 x3^0 x4^0,-0.904143760148749,"logit(A)"
A,x1^2 x2^0 x3^0 x4^2,0.00144322596854415,"logit(A)"
A,x1^2 x2^0 x3^1 x4^1,-0.118877535629625,"logit(A)"
A,x1^2 x2^0 x3^2 x4^0,-30.4079152404475,"logit(A)"
A,x1^2 x2^1 x3^0 x4^1,-0.00381242856942984,"logit(A)"
A,x1^2 x2^1 x3^1 x4^0,-5.58343669569986,"logit(A)"
A,x1^2 x2^2 x3^0 x4^0,-0.246052581292477,"logit(A)"
A,x1^3 x2^0 x3^0 x4^1,-0.0134006657064441,"logit(A)"
A,x1^3 x2^0 x3^1 x4^0,-5.56181622085386,"logit(A)"
A,x1^3 x2^1 x3^0 x4^0,0.0230479894336625,"logit(A)"
A,x1^4 x2^0 x3^0 x4^0,-0.065914820500178,"logit(A)"
K,(intercept),-7285.35888293244,"logit(K)"
K,1,-2.08319149092966e-14,"logit(K)"
K,x1^0 x2^0 x3^0 x4^1,9.04289297707283,"logit(K)"
K,x1^0 x2^0 x3^1 x4^0,-5658.08133535465,"logit(K)"
K,x1^0 x2^1 x3^0 x4^0,-1841.0620150663,"logit(K)"
K,x1^1 x2^0 x3^0 x4^0,-254.439131318753,"logit(K)"
K,x1^0 x2^0 x3^0 x4^2,-38.0778626011384,"logit(K)"
K,x1^0 x2^0 x3^1 x4^1,-3.2061509932933,"logit(K)"
K,x1^0 x2^0 x3^2 x4^0,9348.30582537956,"logit(K)"
K,x1^0 x2^1 x3^0 x4^1,-0.0676426578438278,"logit(K)"
K,x1^0 x2^1 x3^1 x4^0,1165.13479772401,"logit(K)"
K,x1^0 x2^2 x3^0 x4^0,167.684043913496,"logit(K)"
K,x1^1 x2^0 x3^0 x4^1,-2.64926804522595,"logit(K)"
K,x1^1 x2^0 x3^1 x4^0,947.110063099007,"logit(K)"
K,x1^1 x2^1 x3^0 x4^0,306.847975519528,"logit(K)"
K,x1^2 x2^0 x3^0 x4^0,6.45790345807671,"logit(K)"
K,x1^0 x2^0 x3^0 x4^3,-108.027621513402,"logit(K)"
K,x1^0 x2^0 x3^1 x4^2,207.258377524144,"logit(K)"
K,x1^0 x2^0 x3^2 x4^1,-186.738122624741,"logit(K)"
K,x1^0 x2^0 x3^3 x4^0,-14126.7810386929,"logit(K)"
