param,term,coefficient,transform
A,(intercept),-39.8631886998889,"logit(A)"
A,1,3.40072664510755e-16,"logit(A)"
A,x1^0 x2^0 x3^0 x4^1,2.81301618803708,"logit(A)"
A,x1^0 x2^0 x3^1 x4^0,-63.3632491611256,"logit(A)"
A,x1^0 x2^1 x3^0 x4^0,2.25382722595483,"logit(A)"
A,x1^1 x2^0 x3^0 x4^0,-18.4777295331375,"logit(A)"
A,x1^0 x2^0 x3^0 x4^2,0.285867339943094,"logit(A)"
A,x1^0 x2^0 x3^1 x4^1,-2.89974413387908,"logit(A)"
A,x1^0 x2^0 x3^2 x4^0,102.456997368862,"logit(A)"
A,x1^0 x2^1 x3^0 x4^1,-1.27632359054773,"logit(A)"
A,x1^0 x2^1 x3^1 x4^0,25.7157982026665,"logit(A)"
A,x1^0 x2^2 x3^0 x4^0,-2.96373572467604,"logit(A)"
A,x1^1 x2^0 x3^0 x4^1,-0.446689476229328,"logit(A)"
A,x1^1 x2^0 x3^1 x4^0,1.97308690881415,"logit(A)"
A,x1^1 x2^1 x3^0 x4^0,8.1019968849109,"logit(A)"
A,x1^2 x2^0 x3^0 x4^0,-0.707269512213661,"logit(A)"
A,x1^0 x2^0 x3^0 x4^3,0.000908136259328712,"logit(A)"
A,x1^0 x2^0 x3^1 x4^2,-0.841255306690288,"logit(A)"
A,x1^0 x2^0 x3^2 x4^1,0.631403683478039,"logit(A)"
A,x1^0 x2^0 x3^3 x4^0,-160.386019096616,"logit(A)"
A,x1^0 x2^1 x3^0 x4^2,-0.103312564311759,"logit(A)"
A,x1^0 x2^1 x3^1 x4^1,1.53014775579247,"logit(A)"
A,x1^0 x2^1 x3^2 x4^0,-40.6532435572627,"logit(A)"
A,x1^0 x2^2 x3^0 x4^1,0.577644484528974,"logit(A)"
A,x1^0 x2^2 x3^1 x4^0,-9.871317762163,"logit(A)"
A,x1^0 x2^3 x3^0 x4^0,1.57227255992273,"logit(A)"
A,x1^1 x2^0 x3^0 x4^2,-0.124321440024002,"logit(A)"
A,x1^1 x2^0 x3^1 x4^1,0.187546673135264,"logit(A)"
A,x1^1 x2^0 x3^2 x4^0,11.8271565512892,"logit(A)"
A,x1^1 x2^1 x3^0 x4^1,0.208704856986386,"logit(A)"
