param,term,coefficient,transform
A,(intercept),14.096549733208,"logit(A)"
A,1,2.91024391681313e-16,"logit(A)"
A,x1^0 x2^0 x3^0 x4^1,-1.05393875441521,"logit(A)"
A,x1^0 x2^0 x3^1 x4^0,1.74785936002108,"logit(A)"
A,x1^0 x2^1 x3^0 x4^0,-4.14116084485772,"logit(A)"
A,x1^1 x2^0 x3^0 x4^0,7.80808198083222,"logit(A)"
A,x1^0 x2^0 x3^0 x4^2,-0.252035874593585,"logit(A)"
A,x1^0 x2^0 x3^1 x4^1,1.89858895654718,"logit(A)"
A,x1^0 x2^0 x3^2 x4^0,-6.77309619626024,"logit(A)"
A,x1^0 x2^1 x3^0 x4^1,0.42358347266377,"logit(A)"
A,x1^0 x2^1 x3^1 x4^0,-0.601636261990035,"logit(A)"
A,x1^0 x2^2 x3^0 x4^0,-0.273575570207942,"logit(A)"
A,x1^1 x2^0 x3^0 x4^1,0.251259166687877,"logit(A)"
A,x1^1 x2^0 x3^1 x4^0,0.0835490296815107,"logit(A)"
A,x1^1 x2^1 x3^0 x4^0,1.01254893483276,"logit(A)"
A,x1^2 x2^0 x3^0 x4^0,-0.920929163676651,"logit(A)"
A,x1^0 x2^0 x3^0 x4^3,0.0143268566573872,"logit(A)"
A,x1^0 x2^0 x3^1 x4^2,0.860209944814376,"logit(A)"
A,x1^0 x2^0 x3^2 x4^1,-2.57938294586612,"logit(A)"
A,x1^0 x2^0 x3^3 x4^0,15.1162994441546,"logit(A)"
A,x1^0 x2^1 x3^0 x4^2,0.111201870966449,"logit(A)"
A,x1^0 x2^1 x3^1 x4^1,-0.724251174333795,"logit(A)"
A,x1^0 x2^1 x3^2 x4^0,4.38354867943053,"logit(A)"
A,x1^0 x2^2 x3^0 x4^1,-0.168478542206255,"logit(A)"
A,x1^0 x2^2 x3^1 x4^0,0.419799183772676,"logit(A)"
A,x1^0 x2^3 x3^0 x4^0,0.418206609172403,"logit(A)"
A,x1^1 x2^0 x3^0 x4^2,0.0903097947919847,"logit(A)"
A,x1^1 x2^0 x3^1 x4^1,-0.324787675957497,"logit(A)"
A,x1^1 x2^0 x3^2 x4^0,0.147025454220809,"logit(A)"
A,x1^1 x2^1 x3^0 x4^1,-0.0989146540843269,"logit(A)"
A,x1^1 x2^1 x3^1 x4^0,-0.154636141119044,"logit(A)"
A,x1^1 x2^2 x3^0 x4^0,-0.137057656626412,"logit(A)"
A,x1^2 x2^0 x3^0 x4^1,-0.055734618947197,"logit(A)"
A,x1^2 x2^0 x3^1 x4^0,-0.230995808480718,"logit(A)"
A,x1^2 x2^1 x3^0 x4^0,-0.253516441811635,"logit(A)"
A,x1^3 x2^0 x3^0 x4^0,0.132963496025443,"logit(A)"
A,x1^0 x2^0 x3^0 x4^4,0.0446284708661358,"logit(A)"
A,x1^0 x2^0 x3^1 x4^3,0.209086247708671,"logit(A)"
A,x1^0 x2^0 x3^2 x4^2,-0.632976598090502,"logit(A)"
A,x1^0 x2^0 x3^3 x4^1,19.0566104057777,"logit(A)"
A,x1^0 x2^0 x3^4 x4^0,28.9134635453424,"logit(A)"
A,x1^0 x2^1 x3^0 x4^3,-0.00573324109039328,"logit(A)"
A,x1^0 x2^1 x3^1 x4^2,-0.369799637505012,"logit(A)"
A,x1^0 x2^1 x3^2 x4^1,0.812315848783138,"logit(A)"
A,x1^0 x2^1 x3^3 x4^0,-16.9276896050298,"logit(A)"
A,x1^0 x2^2 x3^0 x4^2,-0.0490260234251972,"logit(A)"
A,x1^0 x2^2 x3^1 x4^1,0.267099453981639,"logit(A)"
A,x1^0 x2^2 x3^2 x4^0,-2.87975982538424,"logit(A)"
