param,term,coefficient,transform
A,(intercept),100.552290560905,"logit(A)"
A,1,-1.51541341671727e-15,"logit(A)"
A,x1^0 x2^0 x3^0 x4^1,3.16271105222949,"logit(A)"
A,x1^0 x2^0 x3^1 x4^0,3.47316713026258,"logit(A)"
A,x1^0 x2^1 x3^0 x4^0,-2.13082311182358,"logit(A)"
A,x1^1 x2^0 x3^0 x4^0,16.4606391401764,"logit(A)"
A,x1^0 x2^0 x3^0 x4^2,-0.262210711150493,"logit(A)"
A,x1^0 x2^0 x3^1 x4^1,-3.53005792813592,"logit(A)"
A,x1^0 x2^0 x3^2 x4^0,2.27725119109743,"logit(A)"
A,x1^0 x2^1 x3^0 x4^1,-1.20679427986891,"logit(A)"
A,x1^0 x2^1 x3^1 x4^0,0.132292435776708,"logit(A)"
A,x1^0 x2^2 x3^0 x4^0,0.200193334713927,"logit(A)"
A,x1^1 x2^0 x3^0 x4^1,0.0656845307228327,"logit(A)"
A,x1^1 x2^0 x3^1 x4^0,-2.917563278532,"logit(A)"
A,x1^1 x2^1 x3^0 x4^0,0.83179647585212,"logit(A)"
A,x1^2 x2^0 x3^0 x4^0,-2.93818005962103,"logit(A)"
A,x1^0 x2^0 x3^0 x4^3,0.0171862959006617,"logit(A)"
A,x1^0 x2^0 x3^1 x4^2,0.366083914866258,"logit(A)"
A,x1^0 x2^0 x3^2 x4^1,3.51072708069198,"logit(A)"
A,x1^0 x2^0 x3^3 x4^0,-22.5406535061694,"logit(A)"
A,x1^0 x2^1 x3^0 x4^2,0.100588256427053,"logit(A)"
A,x1^0 x2^1 x3^1 x4^1,1.23903982971093,"logit(A)"
A,x1^0 x2^1 x3^2 x4^0,-5.89135773685786,"logit(A)"
A,x1^0 x2^2 x3^0 x4^1,0.445360775863962,"logit(A)"
A,x1^0 x2^2 x3^1 x4^0,-0.705292885450735,"logit(A)"
A,x1^0 x2^3 x3^0 x4^0,0.0175972507999217,"logit(A)"
A,x1^1 x2^0 x3^0 x4^2,0.00131967589904492,"logit(A)"
A,x1^1 x2^0 x3^1 x4^1,-1.11160552615652,"logit(A)"
A,x1^1 x2^0 x3^2 x4^0,4.65509366798552,"logit(A)"
A,x1^1 x2^1 x3^0 x4^1,-0.0750360109109475,"logit(A)"
A,x1^1 x2^1 x3^1 x4^0,0.566895965574573,"logit(A)"
A,x1^1 x2^2 x3^0 x4^0,-0.49883590615029,"logit(A)"
A,x1^2 x2^0 x3^0 x4^1,-0.321868825654631,"logit(A)"
