param,term,coefficient,transform
A,(intercept),6.28187721376029,logit(A)
A,1,-2.81973581139312e-16,logit(A)
A,x1^0 x2^0 x3^0 x4^1,0.377387410667422,logit(A)
A,x1^0 x2^0 x3^1 x4^0,4.54318712692733,logit(A)
A,x1^0 x2^1 x3^0 x4^0,-1.96320936931112,logit(A)
A,x1^1 x2^0 x3^0 x4^0,2.47773641374899,logit(A)
A,x1^0 x2^0 x3^0 x4^2,-0.0338024903585043,logit(A)
A,x1^0 x2^0 x3^1 x4^1,-1.4177675709572,logit(A)
A,x1^0 x2^0 x3^2 x4^0,-7.74303091779705,logit(A)
A,x1^0 x2^1 x3^0 x4^1,0.0469485903613865,logit(A)
A,x1^0 x2^1 x3^1 x4^0,-2.2068339040816,logit(A)
A,x1^0 x2^2 x3^0 x4^0,0.369689400319712,logit(A)
A,x1^1 x2^0 x3^0 x4^1,-0.156068072059094,logit(A)
A,x1^1 x2^0 x3^1 x4^0,0.18560546493409,logit(A)
A,x1^1 x2^1 x3^0 x4^0,-0.252750577925405,logit(A)
A,x1^2 x2^0 x3^0 x4^0,-0.143724194234061,logit(A)
A,x1^0 x2^0 x3^0 x4^3,0.522082269292902,logit(A)
A,x1^0 x2^0 x3^1 x4^2,0.216651409954568,logit(A)
A,x1^0 x2^0 x3^2 x4^1,3.08350807579424,logit(A)
A,x1^0 x2^0 x3^3 x4^0,13.884957922228,logit(A)
A,x1^0 x2^1 x3^0 x4^2,-0.159321746828791,logit(A)
A,x1^0 x2^1 x3^1 x4^1,-0.428294237930255,logit(A)
A,x1^0 x2^1 x3^2 x4^0,3.98125368220644,logit(A)
A,x1^0 x2^2 x3^0 x4^1,-0.111610187835698,logit(A)
A,x1^0 x2^2 x3^1 x4^0,1.04960846138134,logit(A)
A,x1^0 x2^3 x3^0 x4^0,-0.0904077418675168,logit(A)
A,x1^1 x2^0 x3^0 x4^2,0.041623295833293,logit(A)
A,x1^1 x2^0 x3^1 x4^1,0.610772673294109,logit(A)
A,x1^1 x2^0 x3^2 x4^0,-1.58945515301814,logit(A)
A,x1^1 x2^1 x3^0 x4^1,0.00385991115869772,logit(A)
A,x1^1 x2^1 x3^1 x4^0,0.0103256054423271,logit(A)
A,x1^1 x2^2 x3^0 x4^0,0.0363803416314,logit(A)
A,x1^2 x2^0 x3^0 x4^1,0.0598782814510266,logit(A)
A,x1^2 x2^0 x3^1 x4^0,-0.53841930046975,logit(A)
A,x1^2 x2^1 x3^0 x4^0,0.0720811497816024,logit(A)
A,x1^3 x2^0 x3^0 x4^0,-0.0176974180075022,logit(A)
A,x1^0 x2^0 x3^0 x4^4,1.09471564097834,logit(A)
A,x1^0 x2^0 x3^1 x4^3,-0.468218349629902,logit(A)
A,x1^0 x2^0 x3^2 x4^2,-0.213312083852509,logit(A)
A,x1^0 x2^0 x3^3 x4^1,10.1948755719276,logit(A)
A,x1^0 x2^0 x3^4 x4^0,-8.39872826471488,logit(A)
A,x1^0 x2^1 x3^0 x4^3,-0.0851097496404078,logit(A)
A,x1^0 x2^1 x3^1 x4^2,0.771754066881108,logit(A)
A,x1^0 x2^1 x3^2 x4^1,3.69090011848968,logit(A)
A,x1^0 x2^1 x3^3 x4^0,-7.89850822328734,logit(A)
A,x1^0 x2^2 x3^0 x4^2,0.144487939123468,logit(A)
A,x1^0 x2^2 x3^1 x4^1,0.637714347397508,logit(A)
A,x1^0 x2^2 x3^2 x4^0,-1.99579059733326,logit(A)
A,x1^0 x2^3 x3^0 x4^1,0.0879089132524548,logit(A)
A,x1^0 x2^3 x3^1 x4^0,-0.489617720445115,logit(A)
A,x1^0 x2^4 x3^0 x4^0,0.0239555977674913,logit(A)
A,x1^1 x2^0 x3^0 x4^3,-0.181825080706649,logit(A)
A,x1^1 x2^0 x3^1 x4^2,-0.207226183210068,logit(A)
