param,term,coefficient,transform
A,(intercept),13.3678405534308,logit(A)
A,1,4.12566388758e-16,logit(A)
A,x1^0 x2^0 x3^0 x4^1,-5.32384922674561,logit(A)
A,x1^0 x2^0 x3^1 x4^0,0.536589223355203,logit(A)
A,x1^0 x2^1 x3^0 x4^0,-31.8244066280938,logit(A)
A,x1^1 x2^0 x3^0 x4^0,32.8579407801129,logit(A)
A,x1^0 x2^0 x3^0 x4^2,-1.38715997592912,logit(A)
A,x1^0 x2^0 x3^1 x4^1,4.14273472375875,logit(A)
A,x1^0 x2^0 x3^2 x4^0,2.69072907119139,logit(A)
A,x1^0 x2^1 x3^0 x4^1,1.9258283796289,logit(A)
A,x1^0 x2^1 x3^1 x4^0,1.07525087015167,logit(A)
A,x1^0 x2^2 x3^0 x4^0,4.20988980215959,logit(A)
A,x1^1 x2^0 x3^0 x4^1,1.24224168772744,logit(A)
A,x1^1 x2^0 x3^1 x4^0,-1.60358087166316,logit(A)
A,x1^1 x2^1 x3^0 x4^0,-2.46731560416221,logit(A)
A,x1^2 x2^0 x3^0 x4^0,-0.925643651746428,logit(A)
A,x1^0 x2^0 x3^0 x4^3,-0.0103552328179777,logit(A)
A,x1^0 x2^0 x3^1 x4^2,1.31788047989744,logit(A)
A,x1^0 x2^0 x3^2 x4^1,-3.54693521387819,logit(A)
A,x1^0 x2^0 x3^3 x4^0,-2.91750037728793,logit(A)
A,x1^0 x2^1 x3^0 x4^2,0.0238318935081326,logit(A)
A,x1^0 x2^1 x3^1 x4^1,-0.304776186354199,logit(A)
A,x1^0 x2^1 x3^2 x4^0,-2.8901123818635,logit(A)
A,x1^0 x2^2 x3^0 x4^1,-0.583348648132855,logit(A)
A,x1^0 x2^2 x3^1 x4^0,-0.489814390271291,logit(A)
A,x1^0 x2^3 x3^0 x4^0,-0.490997754032045,logit(A)
A,x1^1 x2^0 x3^0 x4^2,0.814549901774658,logit(A)
A,x1^1 x2^0 x3^1 x4^1,-1.88552282624001,logit(A)
A,x1^1 x2^0 x3^2 x4^0,1.73183758437729,logit(A)
A,x1^1 x2^1 x3^0 x4^1,0.0880681820330571,logit(A)
A,x1^1 x2^1 x3^1 x4^0,0.525730175429199,logit(A)
A,x1^1 x2^2 x3^0 x4^0,0.754785580828167,logit(A)
